Airport name,Year,January,February,March,April,May,June,July,August,September,October,November,December,Whole year,Airport coordinates
Ust-Khairyuzovo,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('156.738087'), Decimal('57.094231'))"
Ust-Tsilma,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('52.18592'), Decimal('65.432179'))"
Ufa,2018,275.02,249.35,527.5,555.73,376.05,424.27,345.13,448.04,373.2,280.9,333.2,543.31,4731.7,"(Decimal('55.883529'), Decimal('54.566329'))"
Ukhta,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.804729'), Decimal('63.555549'))"
Khabarovsk (MVL),2018,1.42,3.35,2.88,3.29,6.03,10.93,4.01,7.3,0.78,0.36,1.01,0.91,42.27,"(Decimal('135.171082'), Decimal('48.525706'))"
Khabarovsk (New),2018,1413.91,1986.36,1957.41,1879.1,1687.06,1678.89,1585.75,1805.4,1984.61,1963.75,1846.81,2058.25,21847.3,"(Decimal('135.171082'), Decimal('48.525706'))"
royal,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('136.849746'), Decimal('62.786965'))"
Khanty-Mansiysk,2018,26,38.12,45.01,43.91,50.12,35.69,36.27,48.02,49.2,51.29,54.34,59.91,537.88,"(Decimal('69.095798'), Decimal('61.026144'))"
Harwell,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('59.555959'), Decimal('66.84556'))"
Khatanga,2018,119.6,211.79,0,0,0,0,0,0,0,0,0,0,331.39,"(Decimal('102.473016'), Decimal('71.978434'))"
Herpuchi,2018,0,0,0,0,0,0,0.11,0.25,0.32,0.34,0.31,0.46,0,"(Decimal('138.824395'), Decimal('52.976379'))"
Honuu (Girl),2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('143.251985'), Decimal('66.451866'))"
Khorey Vere,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('58.04802'), Decimal('67.416494'))"
remedy,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('118.27157'), Decimal('56.912812'))"
Cheboksary,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.320195'), Decimal('56.082722'))"
Chyegdomyn,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Chelyabinsk (Balandino),2018,201.43,233.28,249.83,271.05,224.06,221.24,261.6,255.03,237.49,248.4,340.5,393.6,3137.51,"(Decimal('61.509282'), Decimal('55.298164'))"
Cherepovets,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.02088'), Decimal('59.281551'))"
Cherskiy,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('161.32298'), Decimal('68.747259'))"
Chizha,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.366705'), Decimal('67.084013'))"
Reads (tub),2018,176.24,182.45,246.71,278.11,251.1,241.39,237.15,273.83,286.09,279.98,296.1,305.98,3055.13,"(Decimal('113.306492'), Decimal('52.020464'))"
Çokurdah,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('147.90427'), Decimal('70.623269'))"
Çumikan,2018,0,0,0,0,0,0,2.31,3.45,5,3.62,2.16,3.46,0,"(Decimal('135.28347'), Decimal('54.69673'))"
Shakhtars'k,2018,0,0,0,0,0,0,0,1.62,0.97,0,0,0,0,"(Decimal('142.076602'), Decimal('49.189684'))"
Şoyna,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.156661'), Decimal('67.872927'))"
Shushenskoe,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('92.048274'), Decimal('53.388274'))"
Egvekinot (Bay Cross),2018,0,0,0,0,0,0,0,14,11,4,9,8,0,"(Decimal('-179.089626'), Decimal('65.885249'))"
Ekimçan,2018,0,0,0,0,0,0,0.38,0.2,0.1,2.31,0.01,0,0,"(Decimal('132.950411'), Decimal('53.074423'))"
Elista,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.330575'), Decimal('46.369401'))"
South kurilsk (Mendeleevo),2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('145.681308'), Decimal('43.959284'))"
Yuzhno-(Khomutovo),2018,590.83,716.12,727.62,740.51,949.9,1060.58,1104.6,863.7,893.41,825.21,1062.37,948.8,10483.65,"(Decimal('142.723677'), Decimal('46.886967'))"
Yakutsk,2018,507.45,726.99,890.64,848.08,743.5,876.79,770.84,829.77,861.4,891.99,1044.34,1226.69,10218.48,"(Decimal('129.750225'), Decimal('62.086594'))"
Yakutsk (Magan),2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('-6.226888'), Decimal('8.607871'))"
Yamburg,2018,0,0.1,0.01,1.29,0.02,0.2,0.01,0.03,0,0.03,0,0.04,1.73,"(Decimal('75.097783'), Decimal('67.980026'))"
Yaroslavl (Tunoshna),2018,240.67,186.05,320.54,373.23,434.25,134.2,40.18,75.7,128.81,102.21,14.44,74.18,2124.46,"(Decimal('40.170054'), Decimal('57.56231'))"
Yartsevo,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('90.203907'), Decimal('60.252931'))"
Abakan,2017,48.36,77.08,95.33,90.28,91.93,57.13,82.59,81.2,76.05,139.67,71.58,88.84,1000.04,"(Decimal('91.399735'), Decimal('53.751351'))"
Aikhal,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('111.543324'), Decimal('65.957161'))"
Loss,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('125.398355'), Decimal('58.602489'))"
Amderma,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('61.577429'), Decimal('69.759076'))"
Anadyr,2017,117.57,241.91,360.26,305.86,161.47,136.82,89.39,109.33,117.55,121.67,89.18,313.33,2164.34,"(Decimal('177.738273'), Decimal('64.713433'))"
Anapa (Vitjazevo),2017,40.52,37.88,49.3,49.8,48.08,74.83,76.06,74.43,77.64,61.02,64.11,75.38,729.05,"(Decimal('37.341511'), Decimal('45.003748'))"
Antypayuta,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Apatite (Khibiny),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('33.581999'), Decimal('67.459641'))"
Arkhangelsk (Vaskovo),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('40.706789'), Decimal('64.592645'))"
Arkhangelsk (Talagy),2017,93.8,159.1,188,218.1,302.5,245.7,119,211.1,127.6,213.41,270.56,359.21,2508.08,"(Decimal('40.714892'), Decimal('64.596138'))"
Astrakhan (Narimanovo),2017,48.55,55.32,70.39,69.11,62.89,62.18,62.38,62.62,67.68,76.72,68.36,95.02,801.22,"(Decimal('47.999896'), Decimal('46.287344'))"
Achinsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('90.566467'), Decimal('56.271301'))"
Trip,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('138.042241'), Decimal('56.431311'))"
Auctions,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('113.479076'), Decimal('54.369366'))"
Baykit,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('96.366763'), Decimal('61.681612'))"
Barnaul (Titov Name),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('83.547723'), Decimal('53.361377'))"
In Salah,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('130.399707'), Decimal('67.792415'))"
white Mountain,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('146.228094'), Decimal('68.553931'))"
Belgorod,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('36.570541'), Decimal('50.645157'))"
Novy Urengoy,2017,0,0,4.9,11.1,12.1,5.7,10.4,14.9,7.7,6.6,27.5,13.8,114.7,"(Decimal('66.694583'), Decimal('63.697412'))"
Belushi,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.623466'), Decimal('66.887693'))"
Usinsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('65.046174'), Decimal('63.927111'))"
Beringovsky (Branch PCF "A / P Chukotka"),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('179.293427'), Decimal('63.025373'))"
Biisk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('85.343842'), Decimal('52.481983'))"
Blagoveshchensk,2017,212.5,283,346.7,336.1,319.3,298.8,388.5,426.5,384,377.1,344.4,471.4,4188.3,"(Decimal('127.407536'), Decimal('50.42238'))"
Bovanenkovo,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('68.338149'), Decimal('70.319169'))"
Bogorodskoe,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('140.445792'), Decimal('52.376818'))"
Boguçanı,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('97.46764'), Decimal('58.381633'))"
Bodaybo,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('114.225855'), Decimal('57.857975'))"
Bratsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('101.703088'), Decimal('56.365054'))"
Bryansk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('34.182693'), Decimal('53.213493'))"
Bugulma,2017,1.94,2.37,1.91,1.45,1.56,1.97,2.84,2.81,1.59,1.81,1.31,1.6,23.16,"(Decimal('52.790306'), Decimal('54.634026'))"
Petrel,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('147.622486'), Decimal('44.920825'))"
Vanavara,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('102.303298'), Decimal('60.351026'))"
Varandey,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('58.202862'), Decimal('68.846223'))"
Верхневилюйск,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('120.278784'), Decimal('63.457425'))"
Vizhas,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.901117'), Decimal('66.637077'))"
Viljujsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('121.691798'), Decimal('63.754713'))"
Витим,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('112.566271'), Decimal('59.459285'))"
Vladivostok (Knevichi),2017,1362.31,1464.1,2109.03,1894.36,1869.82,1898.05,1899.17,2084.67,2085.28,2108.5,2129.72,2412.19,23317.2,"(Decimal('132.165103'), Decimal('43.396702'))"
Vladikavkaz (Beslan),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.604633'), Decimal('43.201857'))"
Vladimir,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('40.316228'), Decimal('56.123257'))"
Volgograd (Gumrak),2017,53,55,75,64,66,66,67,73,83,83,89,99.2,873.2,"(Decimal('44.356743'), Decimal('48.792276'))"
Vologda,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('39.936025'), Decimal('59.284144'))"
Volokovaya,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('48.238974'), Decimal('66.483341'))"
Vorkuta,2017,8.02,7.31,7.88,12.11,10.51,6.77,6.63,8.01,7.41,5.86,6.74,7.7,94.95,"(Decimal('64.00447'), Decimal('67.490244'))"
Voronezh (Chertovitskoe),2017,10.31,5.7,14.51,11.67,14.33,10.37,13.88,12.52,13.01,60.39,16.9,19.05,202.64,"(Decimal('39.225359'), Decimal('51.812576'))"
Vuktyl,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('57.286293'), Decimal('63.826824'))"
Gelendzhik,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.025156'), Decimal('44.593815'))"
Gorno-Altaisk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('85.841302'), Decimal('51.969985'))"
Terrible (North),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.699751'), Decimal('43.384707'))"
Kervan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Distance,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('133.730759'), Decimal('45.879914'))"
deputy,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('139.903775'), Decimal('69.391802'))"
Dixon,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('80.383003'), Decimal('73.516386'))"
Dudinka,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('86.176769'), Decimal('69.389122'))"
Yeisk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.220872'), Decimal('46.680447'))"
Ekaterinburg (Koltsovo),2017,1136.49,1463.22,1818.36,1504.9,1388.83,1465.17,1703.61,1805.98,1763.96,1722.22,1768.26,1799.27,19340.27,"(Decimal('60.802263'), Decimal('56.750256'))"
Ekaterinburg (Uktus),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('60.802263'), Decimal('56.750256'))"
Yelizovo (Avachinskiy),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('158.425285'), Decimal('53.169328'))"
Pitorafik,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('92.098589'), Decimal('58.464048'))"
Erbogaçen,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('108.019592'), Decimal('61.274815'))"
Jigansk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('123.362449'), Decimal('66.788511'))"
Zhukovsky,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('38.117727'), Decimal('55.56167'))"
Gulf Lawrence (Lawrence),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('-71.970927'), Decimal('46.619124'))"
Zeyskaya,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('127.087987'), Decimal('53.690803'))"
Zonalnoe,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('142.756348'), Decimal('50.669311'))"
Zыrjanka,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('150.898525'), Decimal('65.740391'))"
Ivanovo (Yuzhny),2017,0.04,15.68,20,146.5,0,74.31,101.2,0,33.32,0,39.34,152.21,582.6,"(Decimal('40.94371'), Decimal('56.942303'))"
Igarka,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('86.61538'), Decimal('67.442834'))"
Vorkuta,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('64.434979'), Decimal('63.201582'))"
Izhevsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.45064'), Decimal('56.830871'))"
Izhma,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.962626'), Decimal('65.026271'))"
Indiga,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('49.047682'), Decimal('67.645944'))"
Inta,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('60.11825'), Decimal('66.053127'))"
Yoshkar-Ola,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.906786'), Decimal('56.700099'))"
Irkutsk,2017,551.61,582.76,848.17,848.33,822.15,840.52,710.8,748.54,732.44,977.99,1019.37,993.23,9675.91,"(Decimal('104.355777'), Decimal('52.273103'))"
Harbin,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('135.033972'), Decimal('44.267001'))"
Kazan,2017,135.6,133.26,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('49.298591'), Decimal('55.608089'))"
Kazachinskoye (Kazachinsko),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('107.568638'), Decimal('56.277428'))"
Kaliningrad (Hrabrovo),2017,354.74,456.17,544.26,557.4,518.57,538.47,626.76,629.42,634.05,614.7,542.11,662.01,6678.66,"(Decimal('20.58582'), Decimal('54.883038'))"
Kaluga,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('36.366974'), Decimal('54.54689'))"
Karatayka,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('61.412462'), Decimal('68.764539'))"
Starobachaty,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
cedar,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('79.459059'), Decimal('57.616471'))"
Kemerovo,2017,233.61,287.24,423.95,473.49,510.26,474.59,205.71,111.05,113.56,118.34,115.08,152.88,3219.76,"(Decimal('86.118863'), Decimal('55.28199'))"
Keperveem,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('166.145801'), Decimal('67.844582'))"
Ust-kut,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('108.051455'), Decimal('57.770078'))"
Kirov,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('49.346758'), Decimal('58.4975'))"
Kogalym,2017,10,11.01,151.8,144.65,42.8,84.79,31.51,36.48,54.22,81.88,44.55,36.36,730.05,"(Decimal('74.5295'), Decimal('62.195565'))"
Kodinsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('99.102052'), Decimal('58.47899'))"
Kolpaşevo,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Komsomolsk-on-Amur,2017,152.9,160.9,244.5,206.9,159.1,179,103.9,153.03,102.4,141.4,115.82,312.81,2032.66,"(Decimal('136.929004'), Decimal('50.403351'))"
Kondinskoye,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('67.421005'), Decimal('59.654312'))"
Koryaki (Koryaksky),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Kostroma,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('41.013303'), Decimal('57.807633'))"
Kotkin,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('51.114283'), Decimal('67.027658'))"
Kotlas,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('46.703403'), Decimal('61.237562'))"
Krasnodar (Paszkowski),2017,285.36,391.05,522.61,542.12,512.9,489.25,484.1,516.13,537.56,575.7,516.7,605.66,5979.14,"(Decimal('39.139669'), Decimal('45.033923'))"
Krasnoselkup,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('82.460555'), Decimal('65.716517'))"
Krasnoyarsk (Emelyanovo),2017,721.13,773.88,1043.27,1080.38,1049.78,1020.34,1144.13,1316.29,1304.56,1423.46,1416.57,1558.5,13852.29,"(Decimal('92.486391'), Decimal('56.180578'))"
Krasnoyarsk (Cheremshanka),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('92.486391'), Decimal('56.180578'))"
Mound,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('65.411582'), Decimal('55.462896'))"
Kurilsk (Clear),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('145.681308'), Decimal('43.959284'))"
Kursk (Eastern),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('36.282442'), Decimal('51.749429'))"
red,2017,0.59,0.85,0.64,0.72,0.99,0.89,0.08,3.66,1.15,1.25,1.04,1.47,13.33,"(Decimal('94.40495'), Decimal('51.676108'))"
Labozhskoe,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('52.092791'), Decimal('67.329986'))"
Zabaykalsk,2017,22.71,22.63,28.54,56.8,101.69,69.62,74.1,58.74,67.21,102.36,108.26,69.52,782.18,"(Decimal('114.831553'), Decimal('60.722585'))"
Лешуконское,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('45.739403'), Decimal('64.893683'))"
Lipetsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('39.524561'), Decimal('52.698037'))"
Magadan (Magadan-13),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('150.918648'), Decimal('59.623593'))"
Magadan (Falcon),2017,488,552,672,657,688,795,785,712,724,699,705,832,8309,"(Decimal('150.73116'), Decimal('59.914272'))"
Magnitogorsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('58.761516'), Decimal('53.391002'))"
Maikop,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Mom,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('112.894758'), Decimal('58.314348'))"
Manila,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('165.340345'), Decimal('62.48391'))"
brand,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('170.415063'), Decimal('64.668558'))"
Makhachkala (Uytash),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.655707'), Decimal('42.820909'))"
Mezhdurechensk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Mezen,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.214755'), Decimal('65.873771'))"
Milkovo,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('158.568826'), Decimal('54.681956'))"
Mineral water,2017,95.32,133.36,377.62,111.3,115.34,315.64,120.61,140.96,154.81,180.9,180.87,185.12,2111.85,"(Decimal('43.087648'), Decimal('44.217799'))"
Peaceful,2017,504.27,594.86,859.76,985.48,1028.58,909.28,779.41,900.63,1097.22,1225.84,1154.32,1035.71,11075.36,"(Decimal('114.022431'), Decimal('62.531382'))"
Moscow (Bykovo),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Moscow (Vnukovo),2017,3194.88,4189.39,4710.98,4314.67,4442.73,4688.29,4994.15,5073.72,5414.96,5209.59,5681.38,6579.24,58493.98,"(Decimal('37.295014'), Decimal('55.608562'))"
Moscow (Domodedovo),2017,7772.66,9169.01,11302.61,10918.44,10939.16,10076.87,10039.05,10727.61,10093.57,9773.88,10417.52,11631.97,122862.35,"(Decimal('37.767995'), Decimal('55.437168'))"
Moscow (Ostafyevo),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Moscow (Sheremetyevo),2017,18438.6,17180.8,25153.5,23304.6,24856.2,23825,25141.9,24752.5,26277.6,27986.2,29520.5,27535.1,293972.5,"(Decimal('37.405974'), Decimal('55.962962'))"
Мотыгино,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('94.738926'), Decimal('58.181907'))"
Murmansk,2017,101.2,116.8,225,160.9,142.26,152.19,138.5,150.5,146.02,154,162.8,179,1829.17,"(Decimal('32.758163'), Decimal('68.784743'))"
Cape Schmidt,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('-179.380105'), Decimal('68.864431'))"
Cape-Stone,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Nadym,2017,21.96,21.47,31.93,28.03,31.63,36.16,33.35,33.34,36.78,27.13,30.08,41.18,373.04,"(Decimal('72.69258'), Decimal('65.479934'))"
Nazran (Magas / Sleptsovskaya),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,Not found
Nalchik,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('43.635863'), Decimal('43.508409'))"
Naryan-Mar,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('53.086319'), Decimal('67.633534'))"
Nelkan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('136.162463'), Decimal('57.648494'))"
Nerungri (Chulman),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('124.899763'), Decimal('56.905386'))"
Nes,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('44.666347'), Decimal('66.596872'))"
Nižneangarsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('109.599145'), Decimal('55.801344'))"
Nizhnevartovsk,2017,193.2,360.8,356.8,332.4,320.1,251.5,165.7,199.5,230.2,330,318.9,394.7,3453.8,"(Decimal('76.494691'), Decimal('60.951112'))"
Kazan (Begiševo),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('52.101325'), Decimal('55.564404'))"
Nizhneudinsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('99.063101'), Decimal('54.896019'))"
Nizhny Novgorod (Strigino),2017,49.17,56.82,74.2,76.23,64.46,78.01,74.79,73.02,92.68,103.31,79.67,126.02,948.38,"(Decimal('43.791127'), Decimal('56.219628'))"
lower Pesha,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('47.722119'), Decimal('66.739662'))"
Nikolaevsk-on-Amur,2017,4.9,5.57,5.81,4.87,3.03,3.4,2.9,3.34,2.43,2.78,3.22,4.37,46.62,"(Decimal('140.663597'), Decimal('53.149961'))"
Nikolskoye,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('166.043519'), Decimal('55.177036'))"
Novokuznetsk,2017,62.8,73.1,96,91,78,79.6,81.9,87.5,138,139.6,354.1,339.7,1621.3,"(Decimal('86.864303'), Decimal('53.805377'))"
Novosibirsk (North),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('82.667491'), Decimal('55.009425'))"
Novosibirsk (Tolmachyovo),2017,1212.3,1572.5,1933.8,1904.5,1943.7,1774.5,1696,1861.7,1645.7,2034.3,2060.9,2372.6,22012.5,"(Decimal('82.667491'), Decimal('55.009425'))"
New Urengoy,2017,234.4,352.6,426.2,366.5,444.5,405.8,317.9,339.8,281.7,351.7,312.9,333.8,4167.8,"(Decimal('76.522422'), Decimal('66.072965'))"
Nogliki,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('143.140926'), Decimal('51.788476'))"
Norilsk,2017,191.46,1215.47,1414.78,1226.59,1595.89,423.64,110.13,148.91,516.47,916.55,1048.04,1191.7,9999.63,"(Decimal('87.342342'), Decimal('69.325039'))"
Norilьsk (But),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('87.342342'), Decimal('69.325039'))"
Noyabrsk,2017,30.88,41.73,52.07,51.7,52.14,53.42,51.3,54.53,57.13,58.1,55.68,66.14,624.82,"(Decimal('75.274455'), Decimal('63.181841'))"
Нюрба,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('118.364259'), Decimal('63.298313'))"
Nyagan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('65.605995'), Decimal('62.101946'))"
Luengo,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('156.534636'), Decimal('51.501392'))"
Olekminsk,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('120.464672'), Decimal('60.397143'))"
SUV,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('112.47608'), Decimal('68.514229'))"
ohm,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('46.507902'), Decimal('66.65247'))"
Omolon,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('160.545443'), Decimal('65.236944'))"
Omsk (central),2017,185,219,262,281,248,273,262,276,289,314,303,355,3267,"(Decimal('73.007305'), Decimal('55.085528'))"
Omsukçan,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('155.740193'), Decimal('62.459104'))"
Eagle (South),2017,0,0,0,0,0,0,0,0,0,0,0,0,0,"(Decimal('36.01938'), Decimal('52.932788'))"
Orenburg (central),2017,65.05,71.89,87.54,92.49,91.15,93.35,101.49,109.34,112.92,147.88,109.32,135.64,1218.06,"(Decimal('55.457063'), Decimal('51.79139'))"
